GID,GEOM_O,IDENT,ADRESSE,CAMPGPS,CODEPOST,NATURE,IDMOUVT,IDSAE,LIGNEDES,LONGARR,DATECREA,DATEDEPL,DATEGEAR,DATEGEMO,DATEGEVO,MOBILIE1,MOBILIE2,MOBILIE3,MOBILIE4,NOMARRET,REFMOB1,REFMOB2,REFMOB3,REFMOB4,VILLE,ARSCOL,PRESCORB,CONFORT,NIVACPMR,PHOTO,ARTRAN,NIVSERV,RESEAU,CDATE,MDATE
159,360,2154,face 57 avenue de la Dame Blanche,19970827000000,33320,Sur chaussée classique,4,,Corol 37,,20010101000000,,20000906000000,,,Poteau,,,,Dame Blanche,,,,,LE TAILLAN-MEDOC,,,,,,,,BUS,20170830151000,20170830175112
167,360,5905,6 rue du Moulin Rouge,20100723000000,33200,Sur chaussée classique,14,,Citéis 41,,20100222000000,20100222000000,20100222000000,20100222000000,20100222000000,Poteau,,,,Ferry,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175112
168,360,3766,rue de Tauzia,20041014000000,33800,,11,,C,,20040424000000,20040424000000,20040424000000,20040424000000,20040424000000,abribus tramway,,,,TAUZIA,,,,,BORDEAUX,,,,,,,,TRAM,20170830151000,20170830175112
170,360,5396,place Paul Doumer,20080807000000,33000,,11,,C,,20071119000000,20071119000000,20071119000000,20071119000000,,abribus tramway,,,,PLACE PAUL DOUMER,,,,,BORDEAUX,,,,,,,,TRAM,20170830151000,20170830175112
173,360,2623,14 place Courréjean,20060719000000,33140,Sur chaussée classique,8,,,,20010101000000,20060227000000,19990818000000,20151019000000,,Non matérialisé,,,,Courréjean,,,,,VILLENAVE-D'ORNON,SCOLAIRE,,,,,,,,20170830151000,20170830180636
174,360,6976,avenue de l'Hippodrome,20131010000000,33110,Terminus Bus norme access,4,,Lianes 2,,20130902000000,20130902000000,20130902000000,20130902000000,20130902000000,Abribus V1,,,,Le Sulky,13-31,,,,LE BOUSCAT,,,,,,,,BUS,20170830151000,20170830175112
176,360,189,107 rue Victor Hugo,19970716000000,33150,Sur chaussée classique,6,,27,,20010101000000,,20000202000000,,,Poteau,,,,Victor Hugo,,,,,CENON,,,,,,,,BUS,20170830151000,20170830175112
178,360,3641,"120, avenue René Cassagne",20080729000000,33150,Sur chaussée classique,6,,,,20010101000000,20040703000000,20040703000000,20070628000000,20040703000000,Abribus V1,,,,La Morlette,12.48,,,,CENON,,,,,,,,,20170830151000,20170830171804
179,360,7335,rue Alphonse Daudet,20141020000000,33700,Quai Tramway,11,,A,,20150124000000,20150124000000,20150124000000,20150124000000,20150124000000,abribus tramway,,,,LES PINS,,,,,MERIGNAC,,,,,,,,TRAM,20170830151000,20170830175112
180,360,1058,"266, cours Balguerie Stuttenberg",19970806000000,33300,Sur chaussée classique,6,,,35,20010101000000,,19990803000000,,,Poteau,,,,Bourbon,,,,,BORDEAUX,,,,,,,,,20170830151000,20170830171636
184,360,1142,rue de Romainville,19970709000000,33600,Sur chaussée classique,14,,23,,20010101000000,,19990823000000,,,Poteau,,,,Tartifume,,,,,PESSAC,,,,,,,,BUS,20170830151000,20170830175112
188,360,5535,rue Joseph Brunet,20080804000000,33300,,11,,B,,20081020000000,20081020000000,20081020000000,20081020000000,,abribus tramway,,,,CLAVEAU,,,,,BORDEAUX,,,,,,,,TRAM,20170830151000,20170830175112
189,360,5310,rue Alessandro Volta,20141020000000,33700,Sur chaussée classique,14,,Flexo 48 Résa,,20070705000000,20081021000000,20070705000000,20100222000000,20070705000000,Poteau,,,,Volta,,,,,MERIGNAC,,,,,,,,,20170830151000,20170830171836
192,360,5863,face au 102 avenue Salvador Allende,20100720000000,33130,Sur chaussée classique,8,,,,20100222000000,20100222000000,20100222000000,20100222000000,20100222000000,Poteau,,,,Gounod,,,,,BEGLES,,,,,,,,,20170830151000,20170830171856
193,360,1180,43 rue Debussy,19990819000000,33140,Sur chaussée classique,8,,Corol 36,,20010101000000,,20130902000000,20160829000000,,Poteau,,,,Rameau,,,,,VILLENAVE-D'ORNON,,,,,,,,BUS,20170830151000,20170830175112
199,360,165,face au 106 rue de Bethmann,19970709000000,33000,Sur chaussée classique,14,,24/Citéis 41,,20010101000000,,19990823000000,,,Poteau,,,,Mahéla,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175112
200,360,6792,avenue de la Jallère,20141022000000,33300,Sur chaussée classique,8,,,,20130315000000,20130315000000,20130315000000,20141219000000,20130315000000,Poteau,,,,Jallère,,,,,BORDEAUX,,,,,,,,,20170830151000,20170830171912
202,360,1086,102 rue du Pradas,19970711000000,33700,Sur chaussée classique,14,,Citéis 42,,20010101000000,,20000605000000,,,Poteau,,,,Demosthène,,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175112
208,360,7437,avenue du Haut Lévêque,,33600,Quai Tramway,11,,B,,20150622000000,20150622000000,20150622000000,,20150622000000,,,,,GARE DE PESSAC ALOUETTE,,,,,PESSAC,,,,,,,,TRAM,20170830151000,20170830175112
209,360,1408,rue du Docteur Gabriel Péry,20060728000000,33000,Sur chaussée classique,8,,25,,20010101000000,19971222000000,20031215000000,20051026000000,19971222000000,Abribus V1 non éclairé,,,,Imhotep,7.80,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175112
210,360,4003,3 rue des Peyreyres,20040922000000,33320,Sur chaussée classique,8,,Citéis 72,,20010101000000,20040703000000,20040703000000,20040703000000,20040703000000,Poteau,,,,Le Lagunet,,,,,EYSINES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180636
211,360,2899,chemin de Pauge,20070919000000,33140,Sur chaussée classique,8,,Corol 36,,20010101000000,,19990818000000,20060925000000,,Abribus V1 non éclairé,,,,Rigaillou,27.43,,,,VILLENAVE-D'ORNON,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180636
214,360,6470,avenue de Laroque,20121024000000,33300,Terminus Bus norme access,4,,,,,,20110829000000,20110829000000,20110829000000,Abribus V2,,,,Les Aubiers,7-322,,,,BORDEAUX,,,,,,,,,20170830151000,20170830171908
215,360,608,197/201 rue de Bègles,19970702000000,33800,Sur chaussée classique,14,,Lianes 15,,20010101000000,,19991118000000,,,Poteau,,,,Pelleport,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175112
216,360,467,avenue Rene Cassin (devant le CRNA),19970721000000,33700,Hors chaussée intégral,6,,Flexo 48 Résa/Lianes 1,,20010101000000,,20000531000000,,,Poteau,,,,Cassin,,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175112
217,360,994,avenue de l'Hippodrome,19970728000000,33110,Sur chaussée classique,14,,,,20010101000000,,19990902000000,,,Poteau,,,,Le Sulky,,,,,LE BOUSCAT,,,,,,,,,20170830151000,20170830171944
218,360,458,51 avenue Marc Desbats,19990826000000,33600,Sur chaussée classique,14,,87/Citéis 44,,20010101000000,,19990830000000,,,Poteau,,,,Le Chiquet,,,,,PESSAC,,,,,,,,BUS,20170830151000,20170830175112
222,360,1140,308 cours du Maréchal Gallieni,20060712000000,33400,Sur chaussée classique,14,,Lianes 4,,20010101000000,,19990830000000,20051109000000,,Abribus V2 non éclairé,,,,Sembat,26.17,,,,TALENCE,,,,,,,,BUS,20170830151000,20170830175112
224,360,3315,avenue de Foncastel,20100722000000,33700,Sur chaussée classique,6,,Lianes 11,,20010101000000,20100222000000,20000630000000,,,Poteau,,,,Croustet,,,,,MERIGNAC,,,,,,,,BUS,20170830151000,20170830175112
226,360,2071,avenue Lafontaine (côté impair),19970718000000,33560,Sur chaussée classique,8,,92/93/Flexo 50,,20010101000000,,20040703000000,,,Poteau,,,,Terrasson,,,,,CARBON-BLANC,,,,,,,,BUS,20170830151000,20170830175112
228,360,3327,10 rue du 8 Mai 1945,20121022000000,33150,Sur chaussée norme access,8,,Corol 32,,20010101000000,20110709000000,19990715000000,20120320000000,20110709000000,Abribus V1,,,,Rubens,12-53,,,,CENON,,,,,,,,BUS,20170830151000,20170830175112
